Review,Topic,Sentiment
It was an Customer Support experience overall.,Customer Support,Neutral
"Disappointed with the Ride Comfort, it was really uncomfortable.",Ride Comfort,Negative
Neither too good nor too bad - just Ride Comfort.,Ride Comfort,Neutral
It was an Payment Issues experience overall.,Payment Issues,Neutral
"An Driver Behavior ride, nothing to complain about.",Driver Behavior,Neutral
I had a Customer Support experience with the amazing.,Customer Support,Positive
Had a Ride Comfort time using the amazing service!,Ride Comfort,Positive
The Pricing was excellent and great.,Pricing,Positive
Everything about the Ride Comfort was comfortable.,Ride Comfort,Positive
A very Miscellaneous terrible ruined the experience.,Miscellaneous,Negative
Had a App Experience experience with the uncomfortable.,App Experience,Negative
The App Experience was slow and really frustrating.,App Experience,Negative
"The Customer Support worked as expected, fair experience.",Customer Support,Neutral
A very Pricing slow ruined the experience.,Pricing,Negative
"The Pricing worked as expected, standard experience.",Pricing,Neutral
Really impressed with the Ride Comfort - it was amazing.,Ride Comfort,Positive
The App Experience was okay but nothing special.,App Experience,Neutral
The Customer Support was fast and comfortable.,Customer Support,Positive
"An Ride Comfort ride, nothing to complain about.",Ride Comfort,Neutral
Had a Customer Support time using the amazing service!,Customer Support,Positive
A very Customer Support uncomfortable ruined the experience.,Customer Support,Negative
Everything about the Pricing was fast.,Pricing,Positive
The Customer Support was terrible and really frustrating.,Customer Support,Negative
"Disappointed with the App Experience, it was really bad.",App Experience,Negative
The App Experience was amazing and smooth.,App Experience,Positive
Had a Driver Behavior time using the comfortable service!,Driver Behavior,Positive
Had a Miscellaneous time using the great service!,Miscellaneous,Positive
Neither too good nor too bad - just Customer Support.,Customer Support,Neutral
A very App Experience terrible ruined the experience.,App Experience,Negative
"Disappointed with the Ride Comfort, it was really frustrating.",Ride Comfort,Negative
I had a Ride Comfort experience with the comfortable.,Ride Comfort,Positive
Had a Miscellaneous experience with the bad.,Miscellaneous,Negative
A very App Experience frustrating ruined the experience.,App Experience,Negative
A very Payment Issues poor ruined the experience.,Payment Issues,Negative
Had a Payment Issues experience with the frustrating.,Payment Issues,Negative
I had a Miscellaneous experience with the comfortable.,Miscellaneous,Positive
I had a Payment Issues experience with the amazing.,Payment Issues,Positive
The Miscellaneous was okay but nothing special.,Miscellaneous,Neutral
The Customer Support was slow and really frustrating.,Customer Support,Negative
Really impressed with the Customer Support - it was great.,Customer Support,Positive
Everything about the Driver Behavior was excellent.,Driver Behavior,Positive
I had a Ride Comfort experience with the comfortable.,Ride Comfort,Positive
The Miscellaneous was slow and really frustrating.,Miscellaneous,Negative
Neither too good nor too bad - just Driver Behavior.,Driver Behavior,Neutral
The Pricing was bad and really frustrating.,Pricing,Negative
Had a Customer Support time using the amazing service!,Customer Support,Positive
Really impressed with the Ride Comfort - it was great.,Ride Comfort,Positive
Neither too good nor too bad - just Ride Comfort.,Ride Comfort,Neutral
"Disappointed with the Miscellaneous, it was really slow.",Miscellaneous,Negative
Would not recommend due to the Miscellaneous being bad.,Miscellaneous,Negative
It was an Ride Comfort experience overall.,Ride Comfort,Neutral
A very Payment Issues terrible ruined the experience.,Payment Issues,Negative
"The Customer Support worked as expected, average experience.",Customer Support,Neutral
Refund took too long to process.,Payment Issues,Negative
"So many issues, wouldn't recommend.",Miscellaneous,Negative
"Had to re-enter card details, minor inconvenience.",Payment Issues,Neutral
Worst experience I've had with a cab service.,Miscellaneous,Negative
Got my refund without hassle.,Customer Support,Positive
Very helpful and responsive customer care.,Customer Support,Positive
"Had to re-enter card details, minor inconvenience.",Payment Issues,Neutral
Refund took too long to process.,Payment Issues,Negative
"Had to re-enter card details, minor inconvenience.",Payment Issues,Neutral
"Terrible service, issue not resolved.",Customer Support,Negative
Cashless transactions work perfectly.,Payment Issues,Positive
Would definitely use this service again.,Miscellaneous,Positive
Everything was smooth and well-managed.,Miscellaneous,Positive
Very comfortable seats and clean car.,Ride Comfort,Positive
"They eventually helped, but not promptly.",Customer Support,Neutral
Driver was rude and impatient.,Driver Behavior,Negative
"Car smelled bad, ruined the experience.",Ride Comfort,Negative
Refund took too long to process.,Payment Issues,Negative
Easy to book a ride using the app.,App Experience,Positive
Just an average experience.,Miscellaneous,Neutral
"Customer support was okay, took some time.",Customer Support,Neutral
No response from customer support!,Customer Support,Negative
"Standard payment process, nothing special.",Payment Issues,Neutral
Very helpful and responsive customer care.,Customer Support,Positive
"Long loading times, frustrating experience.",App Experience,Negative
"Ride was okay, nothing extraordinary.",Ride Comfort,Neutral
Surge pricing was unfair.,Pricing,Negative
"Car smelled bad, ruined the experience.",Ride Comfort,Negative
Overall a great experience!,Miscellaneous,Positive
"Standard payment process, nothing special.",Payment Issues,Neutral
Just an average experience.,Miscellaneous,Neutral
"Long loading times, frustrating experience.",App Experience,Negative
App worked fine but nothing special.,App Experience,Neutral
Driver was rude and impatient.,Driver Behavior,Negative
Everything was smooth and well-managed.,Miscellaneous,Positive
Smooth ride with a friendly driver.,Driver Behavior,Positive
"Long loading times, frustrating experience.",App Experience,Negative
It was the expected fare.,Pricing,Neutral
Just an average experience.,Miscellaneous,Neutral
"Loved the service, driver was punctual and courteous.",Driver Behavior,Positive
"Ride was okay, nothing extraordinary.",Ride Comfort,Neutral
"Had to re-enter card details, minor inconvenience.",Payment Issues,Neutral
Refund took too long to process.,Payment Issues,Negative
Ride was bumpy and unpleasant.,Ride Comfort,Negative
Very comfortable seats and clean car.,Ride Comfort,Positive
"They eventually helped, but not promptly.",Customer Support,Neutral
Driver was rude and impatient.,Driver Behavior,Negative
Loved the premium ride experience.,Ride Comfort,Positive
Support team resolved my issue quickly.,Customer Support,Positive
Car was clean but not luxurious.,Ride Comfort,Neutral
No surprises in pricing.,Pricing,Neutral
Difficult to navigate the app.,App Experience,Negative
"Customer support was okay, took some time.",Customer Support,Neutral
Long wait times and unhelpful support.,Customer Support,Negative
"Overall, a standard experience.",App Experience,Neutral
Not satisfied with the overall service.,Miscellaneous,Negative
The fare was reasonable for the distance.,Pricing,Positive
The fare was reasonable for the distance.,Pricing,Positive
Everything was smooth and well-managed.,Miscellaneous,Positive
Had to restart the app once.,App Experience,Neutral
"Neither good nor bad, just okay.",Miscellaneous,Neutral
"Had to re-enter card details, minor inconvenience.",Payment Issues,Neutral
"User-friendly interface, smooth booking.",App Experience,Positive
Overall a great experience!,Miscellaneous,Positive
Charged extra without explanation.,Pricing,Negative
"Ride was okay, nothing extraordinary.",Ride Comfort,Neutral
Great value for money!,Pricing,Positive
"Standard payment process, nothing special.",Payment Issues,Neutral
Very helpful and responsive customer care.,Customer Support,Positive
Worst experience I've had with a cab service.,Miscellaneous,Negative
Loved the premium ride experience.,Ride Comfort,Positive
Smooth ride with a friendly driver.,Driver Behavior,Positive
App kept crashing while booking.,App Experience,Negative
App worked fine but nothing special.,App Experience,Neutral
Just an average experience.,Miscellaneous,Neutral
"So many issues, wouldn't recommend.",Miscellaneous,Negative
Smooth ride with a friendly driver.,Driver Behavior,Positive
"Payment was processed, but took some time.",Payment Issues,Neutral
Easy to book a ride using the app.,App Experience,Positive
Seats were dirty and uncomfortable.,Ride Comfort,Negative
Worst experience I've had with a cab service.,Miscellaneous,Negative
"Long loading times, frustrating experience.",App Experience,Negative
Easy to book a ride using the app.,App Experience,Positive
Loved the premium ride experience.,Ride Comfort,Positive
Very comfortable seats and clean car.,Ride Comfort,Positive
"Car smelled bad, ruined the experience.",Ride Comfort,Negative
Not satisfied with the overall service.,Miscellaneous,Negative
Not satisfied with the overall service.,Miscellaneous,Negative
Smooth ride with a friendly driver.,Driver Behavior,Positive
Difficult to navigate the app.,App Experience,Negative
Payment was quick and hassle-free.,Payment Issues,Positive
Double charged for my ride!,Payment Issues,Negative
"So many issues, wouldn't recommend.",Miscellaneous,Negative
Overall a great experience!,Miscellaneous,Positive
"Customer support was okay, took some time.",Customer Support,Neutral
Seats were dirty and uncomfortable.,Ride Comfort,Negative
Refund took too long to process.,Payment Issues,Negative
"Overall, a standard experience.",App Experience,Neutral
Not satisfied with the overall service.,Miscellaneous,Negative
Ride was bumpy and unpleasant.,Ride Comfort,Negative
"Payment was processed, but took some time.",Payment Issues,Neutral
Great value for money!,Pricing,Positive
Car was clean but not luxurious.,Ride Comfort,Neutral
"User-friendly interface, smooth booking.",App Experience,Positive
"So many issues, wouldn't recommend.",Miscellaneous,Negative
The driver followed the route correctly.,Driver Behavior,Neutral
"Terrible service, issue not resolved.",Customer Support,Negative
App kept crashing while booking.,App Experience,Negative
Not satisfied with the overall service.,Miscellaneous,Negative
No response from customer support!,Customer Support,Negative
"So many issues, wouldn't recommend.",Miscellaneous,Negative
It was the expected fare.,Pricing,Neutral
App kept crashing while booking.,App Experience,Negative
The driver followed the route correctly.,Driver Behavior,Neutral
Smooth and relaxing ride.,Ride Comfort,Positive
Would definitely use this service again.,Miscellaneous,Positive
"Standard service, nothing great.",Customer Support,Neutral
"Price was fine, not too high, not too low.",Pricing,Neutral
"Payment was processed, but took some time.",Payment Issues,Neutral
"Neither good nor bad, just okay.",Miscellaneous,Neutral
It was the expected fare.,Pricing,Neutral
"Had to re-enter card details, minor inconvenience.",Payment Issues,Neutral
Car was clean but not luxurious.,Ride Comfort,Neutral
"Neither good nor bad, just okay.",Miscellaneous,Neutral
Seats were neither too comfortable nor uncomfortable.,Ride Comfort,Neutral
"Long loading times, frustrating experience.",App Experience,Negative
"Nothing remarkable, but it worked.",Miscellaneous,Neutral
Worst experience I've had with a cab service.,Miscellaneous,Negative
"User-friendly interface, smooth booking.",App Experience,Positive
Refund took too long to process.,Payment Issues,Negative
Support team resolved my issue quickly.,Customer Support,Positive
Double charged for my ride!,Payment Issues,Negative
Cashless transactions work perfectly.,Payment Issues,Positive
It was the expected fare.,Pricing,Neutral
The driver was polite and professional.,Driver Behavior,Positive
It was the expected fare.,Pricing,Neutral
"Standard payment process, nothing special.",Payment Issues,Neutral
Charged extra without explanation.,Pricing,Negative
Surge pricing was unfair.,Pricing,Negative
"Customer support was okay, took some time.",Customer Support,Neutral
Seats were neither too comfortable nor uncomfortable.,Ride Comfort,Neutral
"Very reckless driving, felt unsafe.",Driver Behavior,Negative
Payment failed multiple times.,Payment Issues,Negative
Very helpful and responsive customer care.,Customer Support,Positive
"So many issues, wouldn't recommend.",Miscellaneous,Negative
Long wait times and unhelpful support.,Customer Support,Negative
Worst experience I've had with a cab service.,Miscellaneous,Negative
"Overall, a standard experience.",App Experience,Neutral
"Ride was okay, nothing extraordinary.",Ride Comfort,Neutral
Support team resolved my issue quickly.,Customer Support,Positive
It was the expected fare.,Pricing,Neutral
Loved the premium ride experience.,Ride Comfort,Positive
"They eventually helped, but not promptly.",Customer Support,Neutral
Car was clean but not luxurious.,Ride Comfort,Neutral
"Car smelled bad, ruined the experience.",Ride Comfort,Negative
App kept crashing while booking.,App Experience,Negative
No surprises in pricing.,Pricing,Neutral
The driver followed the route correctly.,Driver Behavior,Neutral
Very comfortable seats and clean car.,Ride Comfort,Positive
Not satisfied with the overall service.,Miscellaneous,Negative
Cashless transactions work perfectly.,Payment Issues,Positive
Very helpful and responsive customer care.,Customer Support,Positive
"User-friendly interface, smooth booking.",App Experience,Positive
"Terrible service, issue not resolved.",Customer Support,Negative
Easy to book a ride using the app.,App Experience,Positive
Double charged for my ride!,Payment Issues,Negative
It was the expected fare.,Pricing,Neutral
Driver was rude and impatient.,Driver Behavior,Negative
Charged extra without explanation.,Pricing,Negative
"Driver was okay, nothing special.",Driver Behavior,Neutral
Easy to book a ride using the app.,App Experience,Positive
Very comfortable seats and clean car.,Ride Comfort,Positive
"Payment was processed, but took some time.",Payment Issues,Neutral
Ride was bumpy and unpleasant.,Ride Comfort,Negative
"Terrible service, issue not resolved.",Customer Support,Negative
Had to restart the app once.,App Experience,Neutral
"Customer support was okay, took some time.",Customer Support,Neutral
It was the expected fare.,Pricing,Neutral
Cashless transactions work perfectly.,Payment Issues,Positive
Car was clean but not luxurious.,Ride Comfort,Neutral
Smooth ride with a friendly driver.,Driver Behavior,Positive
Worst experience I've had with a cab service.,Miscellaneous,Negative
Easy to book a ride using the app.,App Experience,Positive
Driver was rude and impatient.,Driver Behavior,Negative
"They eventually helped, but not promptly.",Customer Support,Neutral
Difficult to navigate the app.,App Experience,Negative
It was the expected fare.,Pricing,Neutral
Very helpful and responsive customer care.,Customer Support,Positive
Everything was smooth and well-managed.,Miscellaneous,Positive
No response from customer support!,Customer Support,Negative
Payment was quick and hassle-free.,Payment Issues,Positive
"Price was fine, not too high, not too low.",Pricing,Neutral
No surprises in pricing.,Pricing,Neutral
Long wait times and unhelpful support.,Customer Support,Negative
"Price was fine, not too high, not too low.",Pricing,Neutral
"Loved the service, driver was punctual and courteous.",Driver Behavior,Positive
"Had to re-enter card details, minor inconvenience.",Payment Issues,Neutral
Not satisfied with the overall service.,Miscellaneous,Negative
"Standard payment process, nothing special.",Payment Issues,Neutral
Difficult to navigate the app.,App Experience,Negative
Smooth ride with a friendly driver.,Driver Behavior,Positive
"They eventually helped, but not promptly.",Customer Support,Neutral
"Had to re-enter card details, minor inconvenience.",Payment Issues,Neutral
Seamless payment experience.,Payment Issues,Positive
"Had to re-enter card details, minor inconvenience.",Payment Issues,Neutral
The driver was polite and professional.,Driver Behavior,Positive
Affordable and transparent pricing.,Pricing,Positive
App worked flawlessly.,App Experience,Positive
Charged extra without explanation.,Pricing,Negative
"Price was fine, not too high, not too low.",Pricing,Neutral
Long wait times and unhelpful support.,Customer Support,Negative
"Customer support was okay, took some time.",Customer Support,Neutral
Cashless transactions work perfectly.,Payment Issues,Positive
"Car smelled bad, ruined the experience.",Ride Comfort,Negative
Driver refused to turn on the AC.,Driver Behavior,Negative
App worked flawlessly.,App Experience,Positive
Not satisfied with the overall service.,Miscellaneous,Negative
Smooth and relaxing ride.,Ride Comfort,Positive
Car was clean but not luxurious.,Ride Comfort,Neutral
"Ride was okay, nothing extraordinary.",Ride Comfort,Neutral
"Standard payment process, nothing special.",Payment Issues,Neutral
"They eventually helped, but not promptly.",Customer Support,Neutral
No response from customer support!,Customer Support,Negative
Refund took too long to process.,Payment Issues,Negative
"Overall, a standard experience.",App Experience,Neutral
Smooth and relaxing ride.,Ride Comfort,Positive
Double charged for my ride!,Payment Issues,Negative
"Payment was processed, but took some time.",Payment Issues,Neutral
Seamless payment experience.,Payment Issues,Positive
Had to restart the app once.,App Experience,Neutral
Car was clean but not luxurious.,Ride Comfort,Neutral
Ride was bumpy and unpleasant.,Ride Comfort,Negative
Seats were neither too comfortable nor uncomfortable.,Ride Comfort,Neutral
Payment failed multiple times.,Payment Issues,Negative
Not satisfied with the overall service.,Miscellaneous,Negative
Great value for money!,Pricing,Positive
"Ride was okay, nothing extraordinary.",Ride Comfort,Neutral
Smooth ride with a friendly driver.,Driver Behavior,Positive
Loved the premium ride experience.,Ride Comfort,Positive
Driver refused to turn on the AC.,Driver Behavior,Negative
"Terrible service, issue not resolved.",Customer Support,Negative
Worst experience I've had with a cab service.,Miscellaneous,Negative
"Loved the service, driver was punctual and courteous.",Driver Behavior,Positive
The driver followed the route correctly.,Driver Behavior,Neutral
Not satisfied with the overall service.,Miscellaneous,Negative
Decent ride but lacked engagement.,Driver Behavior,Neutral
"Neither good nor bad, just okay.",Miscellaneous,Neutral
Would definitely use this service again.,Miscellaneous,Positive
The driver followed the route correctly.,Driver Behavior,Neutral
"Standard service, nothing great.",Customer Support,Neutral
"User-friendly interface, smooth booking.",App Experience,Positive
Refund took too long to process.,Payment Issues,Negative
"Very reckless driving, felt unsafe.",Driver Behavior,Negative
Very comfortable seats and clean car.,Ride Comfort,Positive
Loved the premium ride experience.,Ride Comfort,Positive
"Standard payment process, nothing special.",Payment Issues,Neutral
App worked flawlessly.,App Experience,Positive
"Neither good nor bad, just okay.",Miscellaneous,Neutral
Charged extra without explanation.,Pricing,Negative
Support team resolved my issue quickly.,Customer Support,Positive
Decent ride but lacked engagement.,Driver Behavior,Neutral
"Overall, a standard experience.",App Experience,Neutral
It was the expected fare.,Pricing,Neutral
Charged extra without explanation.,Pricing,Negative
App worked fine but nothing special.,App Experience,Neutral
"Price was fine, not too high, not too low.",Pricing,Neutral
It was the expected fare.,Pricing,Neutral
Seats were dirty and uncomfortable.,Ride Comfort,Negative
Cashless transactions work perfectly.,Payment Issues,Positive
Payment failed multiple times.,Payment Issues,Negative
Loved the premium ride experience.,Ride Comfort,Positive
"User-friendly interface, smooth booking.",App Experience,Positive
It was the expected fare.,Pricing,Neutral
Worst experience I've had with a cab service.,Miscellaneous,Negative
"So many issues, wouldn't recommend.",Miscellaneous,Negative
Payment was quick and hassle-free.,Payment Issues,Positive
Difficult to navigate the app.,App Experience,Negative
Smooth ride with a friendly driver.,Driver Behavior,Positive
Too expensive for such a short ride!,Pricing,Negative
Everything was smooth and well-managed.,Miscellaneous,Positive
"So many issues, wouldn't recommend.",Miscellaneous,Negative
Affordable and transparent pricing.,Pricing,Positive
Decent ride but lacked engagement.,Driver Behavior,Neutral
"Nothing remarkable, but it worked.",Miscellaneous,Neutral
Refund took too long to process.,Payment Issues,Negative
Support team resolved my issue quickly.,Customer Support,Positive
"Price was fine, not too high, not too low.",Pricing,Neutral
Driver was rude and impatient.,Driver Behavior,Negative
Very helpful and responsive customer care.,Customer Support,Positive
The driver was polite and professional.,Driver Behavior,Positive
Very helpful and responsive customer care.,Customer Support,Positive
Smooth ride with a friendly driver.,Driver Behavior,Positive
"Standard payment process, nothing special.",Payment Issues,Neutral
"Driver was okay, nothing special.",Driver Behavior,Neutral
Great value for money!,Pricing,Positive
Got my refund without hassle.,Customer Support,Positive
"Very reckless driving, felt unsafe.",Driver Behavior,Negative
The driver followed the route correctly.,Driver Behavior,Neutral
App worked flawlessly.,App Experience,Positive
Payment was quick and hassle-free.,Payment Issues,Positive
Ride was bumpy and unpleasant.,Ride Comfort,Negative
App worked fine but nothing special.,App Experience,Neutral
No surprises in pricing.,Pricing,Neutral
Difficult to navigate the app.,App Experience,Negative
Would definitely use this service again.,Miscellaneous,Positive
Too expensive for such a short ride!,Pricing,Negative
"Standard service, nothing great.",Customer Support,Neutral
Refund took too long to process.,Payment Issues,Negative
Loved the premium ride experience.,Ride Comfort,Positive
Payment failed multiple times.,Payment Issues,Negative
Got my refund without hassle.,Customer Support,Positive
"Car smelled bad, ruined the experience.",Ride Comfort,Negative
Very comfortable seats and clean car.,Ride Comfort,Positive
Difficult to navigate the app.,App Experience,Negative
"They eventually helped, but not promptly.",Customer Support,Neutral
Had to restart the app once.,App Experience,Neutral
Overall a great experience!,Miscellaneous,Positive
Affordable and transparent pricing.,Pricing,Positive
"Ride was okay, nothing extraordinary.",Ride Comfort,Neutral
Very helpful and responsive customer care.,Customer Support,Positive
Refund took too long to process.,Payment Issues,Negative
"So many issues, wouldn't recommend.",Miscellaneous,Negative
No surprises in pricing.,Pricing,Neutral
"Car smelled bad, ruined the experience.",Ride Comfort,Negative
"Payment was processed, but took some time.",Payment Issues,Neutral
Not satisfied with the overall service.,Miscellaneous,Negative
Payment failed multiple times.,Payment Issues,Negative
"Neither good nor bad, just okay.",Miscellaneous,Neutral
Support team resolved my issue quickly.,Customer Support,Positive
"Very reckless driving, felt unsafe.",Driver Behavior,Negative
"Neither good nor bad, just okay.",Miscellaneous,Neutral
Driver refused to turn on the AC.,Driver Behavior,Negative
"Ride was okay, nothing extraordinary.",Ride Comfort,Neutral
Payment failed multiple times.,Payment Issues,Negative
Seats were dirty and uncomfortable.,Ride Comfort,Negative
"They eventually helped, but not promptly.",Customer Support,Neutral
Great value for money!,Pricing,Positive
"User-friendly interface, smooth booking.",App Experience,Positive
Long wait times and unhelpful support.,Customer Support,Negative
Great value for money!,Pricing,Positive
Car was clean but not luxurious.,Ride Comfort,Neutral
"Terrible service, issue not resolved.",Customer Support,Negative
Everything was smooth and well-managed.,Miscellaneous,Positive
"Price was fine, not too high, not too low.",Pricing,Neutral
Loved the premium ride experience.,Ride Comfort,Positive
Overall a great experience!,Miscellaneous,Positive
Refund took too long to process.,Payment Issues,Negative
Driver refused to turn on the AC.,Driver Behavior,Negative
Very comfortable seats and clean car.,Ride Comfort,Positive
"Very reckless driving, felt unsafe.",Driver Behavior,Negative
App worked flawlessly.,App Experience,Positive
Smooth and relaxing ride.,Ride Comfort,Positive
App kept crashing while booking.,App Experience,Negative
"Very reckless driving, felt unsafe.",Driver Behavior,Negative
Long wait times and unhelpful support.,Customer Support,Negative
"Nothing remarkable, but it worked.",Miscellaneous,Neutral
No response from customer support!,Customer Support,Negative
Would definitely use this service again.,Miscellaneous,Positive
Double charged for my ride!,Payment Issues,Negative
No surprises in pricing.,Pricing,Neutral
Payment failed multiple times.,Payment Issues,Negative
The fare was reasonable for the distance.,Pricing,Positive
The driver was polite and professional.,Driver Behavior,Positive
Great value for money!,Pricing,Positive
Double charged for my ride!,Payment Issues,Negative
Loved the premium ride experience.,Ride Comfort,Positive
"Car smelled bad, ruined the experience.",Ride Comfort,Negative
Had to restart the app once.,App Experience,Neutral
Not satisfied with the overall service.,Miscellaneous,Negative
"Standard payment process, nothing special.",Payment Issues,Neutral
Great value for money!,Pricing,Positive
Smooth and relaxing ride.,Ride Comfort,Positive
"Price was fine, not too high, not too low.",Pricing,Neutral
"Driver was okay, nothing special.",Driver Behavior,Neutral
Great value for money!,Pricing,Positive
Payment was quick and hassle-free.,Payment Issues,Positive
"They eventually helped, but not promptly.",Customer Support,Neutral
"User-friendly interface, smooth booking.",App Experience,Positive
Very helpful and responsive customer care.,Customer Support,Positive
App worked flawlessly.,App Experience,Positive
The fare was reasonable for the distance.,Pricing,Positive
Smooth ride with a friendly driver.,Driver Behavior,Positive
Not satisfied with the overall service.,Miscellaneous,Negative
Ride was bumpy and unpleasant.,Ride Comfort,Negative
"Neither good nor bad, just okay.",Miscellaneous,Neutral
Worst experience I've had with a cab service.,Miscellaneous,Negative
App worked fine but nothing special.,App Experience,Neutral
App kept crashing while booking.,App Experience,Negative
Car was clean but not luxurious.,Ride Comfort,Neutral
Payment was quick and hassle-free.,Payment Issues,Positive
No response from customer support!,Customer Support,Negative
Surge pricing was unfair.,Pricing,Negative
Double charged for my ride!,Payment Issues,Negative
"Standard service, nothing great.",Customer Support,Neutral
Had to restart the app once.,App Experience,Neutral
"Terrible service, issue not resolved.",Customer Support,Negative
"Loved the service, driver was punctual and courteous.",Driver Behavior,Positive
"Overall, a standard experience.",App Experience,Neutral
Payment was quick and hassle-free.,Payment Issues,Positive
Loved the premium ride experience.,Ride Comfort,Positive
The driver followed the route correctly.,Driver Behavior,Neutral
Overall a great experience!,Miscellaneous,Positive
"So many issues, wouldn't recommend.",Miscellaneous,Negative
"Customer support was okay, took some time.",Customer Support,Neutral
The fare was reasonable for the distance.,Pricing,Positive
Seamless payment experience.,Payment Issues,Positive
Ride was bumpy and unpleasant.,Ride Comfort,Negative
Refund took too long to process.,Payment Issues,Negative
"So many issues, wouldn't recommend.",Miscellaneous,Negative
The fare was reasonable for the distance.,Pricing,Positive
"Payment was processed, but took some time.",Payment Issues,Neutral
"Nothing remarkable, but it worked.",Miscellaneous,Neutral
"User-friendly interface, smooth booking.",App Experience,Positive
App worked flawlessly.,App Experience,Positive
Payment failed multiple times.,Payment Issues,Negative
App worked fine but nothing special.,App Experience,Neutral
Charged extra without explanation.,Pricing,Negative
Decent ride but lacked engagement.,Driver Behavior,Neutral
Surge pricing was unfair.,Pricing,Negative
Smooth and relaxing ride.,Ride Comfort,Positive
Very comfortable seats and clean car.,Ride Comfort,Positive
"Loved the service, driver was punctual and courteous.",Driver Behavior,Positive
No surprises in pricing.,Pricing,Neutral
"Car smelled bad, ruined the experience.",Ride Comfort,Negative
The driver followed the route correctly.,Driver Behavior,Neutral
Affordable and transparent pricing.,Pricing,Positive
"Very reckless driving, felt unsafe.",Driver Behavior,Negative
"Standard payment process, nothing special.",Payment Issues,Neutral
Affordable and transparent pricing.,Pricing,Positive
Very helpful and responsive customer care.,Customer Support,Positive
"Overall, a standard experience.",App Experience,Neutral
Not satisfied with the overall service.,Miscellaneous,Negative
Decent ride but lacked engagement.,Driver Behavior,Neutral
Seats were dirty and uncomfortable.,Ride Comfort,Negative
It was the expected fare.,Pricing,Neutral
"Customer support was okay, took some time.",Customer Support,Neutral
It was the expected fare.,Pricing,Neutral
"Overall, a standard experience.",App Experience,Neutral
Payment was quick and hassle-free.,Payment Issues,Positive
Ride was bumpy and unpleasant.,Ride Comfort,Negative
"Standard payment process, nothing special.",Payment Issues,Neutral
Very comfortable seats and clean car.,Ride Comfort,Positive
The fare was reasonable for the distance.,Pricing,Positive
Refund took too long to process.,Payment Issues,Negative
"User-friendly interface, smooth booking.",App Experience,Positive
Just an average experience.,Miscellaneous,Neutral
Great value for money!,Pricing,Positive
The driver was polite and professional.,Driver Behavior,Positive
Not satisfied with the overall service.,Miscellaneous,Negative
Long wait times and unhelpful support.,Customer Support,Negative
Would definitely use this service again.,Miscellaneous,Positive
The fare was reasonable for the distance.,Pricing,Positive
Refund took too long to process.,Payment Issues,Negative
Easy to book a ride using the app.,App Experience,Positive
Overall a great experience!,Miscellaneous,Positive
Refund took too long to process.,Payment Issues,Negative
Surge pricing was unfair.,Pricing,Negative
The fare was reasonable for the distance.,Pricing,Positive
"Had to re-enter card details, minor inconvenience.",Payment Issues,Neutral
"Driver was okay, nothing special.",Driver Behavior,Neutral
Seats were dirty and uncomfortable.,Ride Comfort,Negative
"Standard payment process, nothing special.",Payment Issues,Neutral
Driver refused to turn on the AC.,Driver Behavior,Negative
Double charged for my ride!,Payment Issues,Negative
The fare was reasonable for the distance.,Pricing,Positive
Seats were neither too comfortable nor uncomfortable.,Ride Comfort,Neutral
Long wait times and unhelpful support.,Customer Support,Negative
Easy to book a ride using the app.,App Experience,Positive
Worst experience I've had with a cab service.,Miscellaneous,Negative
"User-friendly interface, smooth booking.",App Experience,Positive
Decent ride but lacked engagement.,Driver Behavior,Neutral
Very helpful and responsive customer care.,Customer Support,Positive
"Standard payment process, nothing special.",Payment Issues,Neutral
Ride was bumpy and unpleasant.,Ride Comfort,Negative
Very helpful and responsive customer care.,Customer Support,Positive
Too expensive for such a short ride!,Pricing,Negative
Smooth ride with a friendly driver.,Driver Behavior,Positive
App kept crashing while booking.,App Experience,Negative
Payment failed multiple times.,Payment Issues,Negative
Not satisfied with the overall service.,Miscellaneous,Negative
Payment was quick and hassle-free.,Payment Issues,Positive
Great value for money!,Pricing,Positive
App worked flawlessly.,App Experience,Positive
Surge pricing was unfair.,Pricing,Negative
Double charged for my ride!,Payment Issues,Negative
Too expensive for such a short ride!,Pricing,Negative
Double charged for my ride!,Payment Issues,Negative
Great value for money!,Pricing,Positive
Payment failed multiple times.,Payment Issues,Negative
"Neither good nor bad, just okay.",Miscellaneous,Neutral
Seats were neither too comfortable nor uncomfortable.,Ride Comfort,Neutral
"Driver was okay, nothing special.",Driver Behavior,Neutral
Car was clean but not luxurious.,Ride Comfort,Neutral
"So many issues, wouldn't recommend.",Miscellaneous,Negative
Too expensive for such a short ride!,Pricing,Negative
"So many issues, wouldn't recommend.",Miscellaneous,Negative
Seamless payment experience.,Payment Issues,Positive
App worked flawlessly.,App Experience,Positive
Seats were dirty and uncomfortable.,Ride Comfort,Negative
Got my refund without hassle.,Customer Support,Positive
"Nothing remarkable, but it worked.",Miscellaneous,Neutral
"Price was fine, not too high, not too low.",Pricing,Neutral
"Neither good nor bad, just okay.",Miscellaneous,Neutral
"Price was fine, not too high, not too low.",Pricing,Neutral
Just an average experience.,Miscellaneous,Neutral
Affordable and transparent pricing.,Pricing,Positive
Affordable and transparent pricing.,Pricing,Positive
App kept crashing while booking.,App Experience,Negative
"They eventually helped, but not promptly.",Customer Support,Neutral
"Driver was okay, nothing special.",Driver Behavior,Neutral
Refund took too long to process.,Payment Issues,Negative
